EmployeeID,Age,Gender,Department,JobRole,EducationField,MaritalStatus,BusinessTravel,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,DistanceFromHome,OverTime,JobSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TrainingTimesLastYear,Attrition
205,45,Male,Sales,Manager,Human Resources,Married,Non-Travel,7696.0,0,0,6.0,No,4,2.0,2,2,2,No
206,23,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,12910.0,2,1,1.0,No,3,3.0,3,3,5,No
207,41,Male,Research & Development,Laboratory Technician,Medical,Single,Travel_Rarely,9859.0,6,5,10.0,Yes,4,2.0,3,0,5,Yes
208,44,Male,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,11603.0,8,7,11.0,No,1,3.0,2,3,5,No
209,29,Male,Sales,Manager,Medical,Single,Travel_Rarely,3841.0,0,0,6.0,No,3,3.0,4,3,1,No
210,38,Male,Sales,Manager,Technical Degree,Married,Travel_Rarely,11061.0,0,0,5.0,No,2,4.0,1,6,2,No
211,50,Female,Sales,Sales Executive,Human Resources,Divorced,Travel_Rarely,7457.0,6,4,1.0,No,1,3.0,3,0,4,No
212,36,Male,Research & Development,Research Director,Medical,Married,Travel_Frequently,8188.0,7,3,7.0,Yes,1,4.0,4,3,3,Yes
213,44,Female,Sales,Manager,Medical,Single,Non-Travel,15174.0,13,9,5.0,No,4,2.0,3,3,2,No
214,24,Male,Research & Development,Research Scientist,Human Resources,Married,Travel_Rarely,7726.0,3,1,15.0,No,2,4.0,3,1,3,Yes
215,38,Male,Human Resources,HR Manager,Human Resources,Single,Travel_Frequently,5941.0,0,0,5.0,No,3,1.0,3,3,3,Yes
216,29,Male,Research & Development,Research Director,Technical Degree,Single,Travel_Rarely,1171.0,9,4,12.0,No,3,3.0,3,2,4,Yes
217,36,Female,Sales,Sales Representative,Medical,Divorced,Travel_Rarely,5441.0,0,0,4.0,No,4,2.0,4,4,1,No
218,54,Male,Research & Development,Research Director,Marketing,Married,Travel_Frequently,7596.0,9,5,2.0,No,3,3.0,3,2,2,No
219,44,Male,Research & Development,Manufacturing Director,Medical,Single,Travel_Rarely,5502.0,6,5,1.0,Yes,2,3.0,3,5,2,Yes
220,46,Female,Research & Development,Research Director,Technical Degree,Married,Travel_Rarely,11691.0,11,7,1.0,Yes,4,2.0,3,1,2,Yes
221,30,Male,Sales,Sales Executive,Life Sciences,Married,Non-Travel,13413.0,1,0,3.0,No,4,3.0,3,1,3,No
222,24,Female,Sales,Sales Representative,Technical Degree,Married,Travel_Rarely,9023.0,3,1,1.0,Yes,4,2.0,3,2,2,Yes
223,32,Male,Human Resources,HR Manager,Human Resources,Single,Travel_Rarely,1000.0,0,0,6.0,No,2,2.0,2,1,7,Yes
224,36,Female,Sales,Sales Representative,Technical Degree,Married,Travel_Frequently,5888.0,12,8,6.0,Yes,2,4.0,3,1,0,Yes
225,27,Male,Research & Development,Laboratory Technician,Technical Degree,Married,Travel_Rarely,7822.0,4,3,4.0,No,3,4.0,3,1,4,No
226,22,Male,Sales,Sales Executive,Life Sciences,Married,Travel_Frequently,5659.0,2,1,1.0,No,2,4.0,3,2,2,No
227,34,Female,Sales,Sales Representative,Other,Single,Travel_Rarely,2308.0,3,2,1.0,No,3,2.0,3,2,2,No
228,24,Male,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,5266.0,4,2,15.0,No,3,3.0,3,2,3,No
229,53,Female,Sales,Manager,Medical,Married,Travel_Rarely,9289.0,0,0,12.0,Yes,2,3.0,3,3,4,Yes
230,51,Female,Research & Development,Research Director,Human Resources,Married,Travel_Rarely,6708.0,5,4,30.0,No,1,1.0,3,2,1,No
231,33,Male,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,5026.0,7,4,2.0,Yes,2,4.0,3,3,3,Yes
232,43,Male,Sales,Sales Executive,Other,Married,Travel_Rarely,6485.0,3,1,6.0,Yes,3,3.0,3,5,1,No
233,39,Female,Sales,Sales Representative,Medical,Single,Travel_Frequently,7258.0,8,6,7.0,No,3,3.0,3,1,1,No
234,41,Male,Research & Development,Manufacturing Director,Technical Degree,Divorced,Travel_Frequently,12756.0,13,10,6.0,No,4,3.0,2,3,4,No
235,34,Male,Sales,Manager,Technical Degree,Divorced,Travel_Rarely,4395.0,0,0,1.0,No,4,1.0,4,0,1,No
236,29,Male,Sales,Sales Executive,Marketing,Married,Travel_Frequently,9215.0,0,0,1.0,No,4,1.0,3,3,3,No
237,54,Male,Human Resources,Human Resources,Medical,Married,Travel_Rarely,8353.0,9,4,17.0,Yes,2,2.0,2,1,3,No
238,56,Male,Research & Development,Laboratory Technician,Marketing,Single,Travel_Rarely,8784.0,7,4,1.0,No,3,3.0,1,3,5,No
239,39,Male,Research & Development,Research Director,Human Resources,Divorced,Travel_Frequently,4943.0,1,0,10.0,Yes,3,2.0,4,3,3,Yes
240,30,Female,Sales,Manager,Human Resources,Divorced,Travel_Rarely,8979.0,0,0,4.0,Yes,4,4.0,4,2,1,No
241,38,Male,Sales,Manager,Life Sciences,Married,Travel_Rarely,1420.0,6,2,6.0,No,3,1.0,3,2,1,Yes
242,42,Male,Sales,Sales Representative,Other,Married,Travel_Rarely,9586.0,7,2,8.0,No,3,3.0,3,1,1,No
243,18,Female,Human Resources,Human Resources,Human Resources,Single,Travel_Rarely,13647.0,0,0,16.0,No,3,1.0,2,0,1,No
244,39,Male,Research & Development,Research Director,Marketing,Married,Travel_Frequently,4785.0,1,0,3.0,No,2,2.0,4,0,5,Yes
245,35,Female,Sales,Sales Executive,Medical,Married,Travel_Frequently,9464.0,0,0,14.0,No,3,1.0,3,4,2,No
246,30,Male,Sales,Sales Representative,Other,Divorced,Travel_Rarely,5939.0,5,1,7.0,No,4,3.0,3,0,3,No
247,34,Female,Sales,Manager,Other,Single,Travel_Rarely,7624.0,6,3,7.0,No,3,3.0,3,4,2,No
248,22,Female,Sales,Manager,Other,Married,Travel_Rarely,5687.0,4,3,9.0,No,4,2.0,3,3,2,No
249,36,Female,Research & Development,Research Director,Medical,Married,Travel_Rarely,15963.0,15,7,1.0,No,1,4.0,3,4,1,No
250,38,Female,Research & Development,Laboratory Technician,Medical,Divorced,Travel_Rarely,10014.0,2,1,5.0,No,4,2.0,1,2,4,No
251,18,Male,Human Resources,HR Manager,Medical,Married,Travel_Rarely,12808.0,0,0,3.0,No,3,3.0,2,4,1,No
252,34,Female,Research & Development,Manufacturing Director,Marketing,Divorced,Travel_Rarely,7306.0,3,1,4.0,No,2,1.0,3,2,2,Yes
253,29,Male,Research & Development,Manufacturing Director,Other,Married,Non-Travel,7366.0,2,1,24.0,Yes,3,3.0,4,1,1,No
254,43,Male,Sales,Manager,Human Resources,Divorced,Travel_Rarely,2541.0,2,1,1.0,Yes,4,2.0,3,2,5,Yes
255,31,Male,Sales,Manager,Other,Single,Travel_Rarely,3659.0,0,0,4.0,No,4,4.0,2,0,0,No
256,30,Male,Research & Development,Laboratory Technician,Technical Degree,Married,Travel_Rarely,7001.0,4,3,5.0,No,3,2.0,3,1,5,Yes
257,24,Male,Sales,Sales Representative,Human Resources,Married,Travel_Rarely,9821.0,2,1,1.0,No,4,4.0,3,3,5,No
258,26,Male,Sales,Manager,Medical,Married,Travel_Frequently,16404.0,2,1,1.0,No,3,3.0,2,1,1,No
259,44,Female,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,11633.0,0,0,2.0,No,3,3.0,4,3,3,No
260,34,Female,Research & Development,Laboratory Technician,Life Sciences,Married,Travel_Rarely,7566.0,9,4,7.0,No,3,2.0,4,4,1,No
261,41,Male,Research & Development,Manufacturing Director,Human Resources,Married,Travel_Rarely,8610.0,5,1,1.0,No,3,2.0,3,1,6,No
262,36,Female,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,7209.0,3,0,1.0,No,4,2.0,3,4,3,No
263,37,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Frequently,16404.0,13,9,13.0,Yes,3,3.0,3,0,4,No
264,29,Female,Sales,Manager,Technical Degree,Single,Non-Travel,7219.0,4,1,13.0,No,4,3.0,3,2,1,No
265,32,Male,Research & Development,Research Director,Medical,Married,Travel_Rarely,8132.0,4,2,12.0,Yes,3,2.0,3,3,1,Yes
266,18,Female,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,5075.0,0,0,7.0,No,2,4.0,3,0,7,Yes
267,24,Female,Sales,Sales Executive,Human Resources,Single,Travel_Rarely,6338.0,5,4,2.0,Yes,2,3.0,3,1,3,Yes
268,38,Male,Research & Development,Laboratory Technician,Human Resources,Married,Travel_Rarely,9710.0,3,2,9.0,Yes,4,3.0,3,1,2,Yes
269,46,Female,Sales,Sales Executive,Medical,Single,Travel_Rarely,14287.0,22,10,8.0,Yes,1,1.0,4,4,3,No
270,35,Male,Sales,Manager,Life Sciences,Married,Travel_Rarely,11712.0,2,0,16.0,No,2,3.0,3,4,1,No
271,41,Male,Sales,Sales Representative,Technical Degree,Single,Travel_Rarely,7636.0,0,0,1.0,No,3,2.0,3,2,1,No
272,34,Male,Sales,Manager,Marketing,Single,Travel_Rarely,3562.0,1,0,3.0,Yes,2,1.0,2,2,3,No
273,19,Male,Research & Development,Manufacturing Director,Human Resources,Divorced,Travel_Rarely,6035.0,1,0,17.0,No,2,4.0,2,2,0,Yes
274,35,Female,Sales,Sales Representative,Marketing,Married,Travel_Rarely,4876.0,3,1,1.0,No,3,4.0,2,2,2,No
275,38,Female,Research & Development,Research Director,Other,Single,Travel_Rarely,5109.0,11,5,3.0,Yes,3,1.0,4,5,2,Yes
276,48,Male,Human Resources,HR Manager,Life Sciences,Married,Travel_Frequently,8291.0,16,13,7.0,No,4,3.0,3,1,2,No
277,27,Male,Research & Development,Manufacturing Director,Medical,Married,Travel_Frequently,10875.0,5,3,3.0,Yes,4,1.0,3,2,0,Yes
278,27,Male,Research & Development,Research Director,Marketing,Married,Non-Travel,2129.0,1,0,3.0,Yes,4,3.0,3,0,3,Yes
279,29,Female,Research & Development,Manufacturing Director,Marketing,Married,Travel_Frequently,7306.0,0,0,11.0,No,4,2.0,3,6,2,Yes
280,27,Female,Research & Development,Research Scientist,Life Sciences,Single,Travel_Rarely,5545.0,9,8,6.0,No,2,4.0,3,1,4,No
281,41,Female,Research & Development,Research Scientist,Marketing,Divorced,Travel_Rarely,4046.0,5,4,10.0,No,4,2.0,3,4,5,No
282,38,Female,Research & Development,Research Director,Other,Married,Travel_Rarely,1650.0,14,4,3.0,No,3,2.0,3,5,0,No
283,51,Male,Research & Development,Laboratory Technician,Marketing,Married,Travel_Rarely,10879.0,14,12,5.0,No,3,3.0,2,1,1,No
284,37,Female,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,5352.0,9,8,4.0,No,4,2.0,3,1,3,No
285,43,Male,Sales,Sales Executive,Other,Single,Travel_Rarely,11867.0,8,6,27.0,No,4,3.0,2,1,3,No
286,22,Male,Sales,Sales Executive,Technical Degree,Married,Travel_Rarely,7306.0,2,0,27.0,Yes,3,1.0,3,2,1,Yes
287,40,Female,Sales,Sales Executive,Marketing,Single,Travel_Rarely,8537.0,3,1,14.0,No,4,2.0,3,2,2,No
288,44,Male,Sales,Sales Representative,Technical Degree,Married,Travel_Rarely,3881.0,10,6,7.0,Yes,4,4.0,3,1,2,Yes
289,29,Female,Sales,Sales Executive,Technical Degree,Married,Travel_Rarely,11414.0,0,0,24.0,Yes,2,2.0,3,1,4,No
290,29,Male,Research & Development,Research Director,Marketing,Divorced,Travel_Rarely,2219.0,4,3,22.0,No,1,3.0,3,1,3,Yes
291,35,Male,Sales,Sales Executive,Life Sciences,Single,Travel_Rarely,10276.0,4,3,5.0,No,3,2.0,3,3,1,No
292,39,Male,Research & Development,Manufacturing Director,Medical,Married,Travel_Rarely,1000.0,5,4,11.0,No,2,1.0,3,6,3,No
293,45,Male,Sales,Manager,Life Sciences,Married,Travel_Rarely,3329.0,1,0,4.0,Yes,3,3.0,3,2,1,No
294,48,Male,Research & Development,Research Director,Human Resources,Married,Non-Travel,5015.0,1,0,16.0,Yes,4,3.0,3,2,3,Yes
295,42,Female,Research & Development,Research Director,Marketing,Single,Travel_Rarely,8772.0,2,0,2.0,No,4,3.0,3,2,0,No
296,30,Male,Research & Development,Research Director,Medical,Divorced,Non-Travel,7306.0,3,1,1.0,Yes,1,2.0,3,2,3,Yes
297,28,Male,Research & Development,Research Director,Technical Degree,Married,Travel_Frequently,5520.0,4,3,1.0,Yes,4,2.0,2,5,4,No
298,51,Male,Sales,Sales Executive,Medical,Married,Travel_Rarely,11959.0,0,0,6.0,No,3,3.0,3,3,3,No
299,42,Female,Research & Development,Research Director,Life Sciences,Single,Travel_Rarely,9764.0,13,11,15.0,No,4,2.0,3,2,2,No
300,42,Male,Research & Development,Research Director,Marketing,Married,Travel_Rarely,9614.0,2,1,3.0,No,1,1.0,3,1,5,Yes
301,28,Male,Research & Development,Research Director,Life Sciences,Married,Travel_Frequently,13895.0,10,3,5.0,No,4,2.0,3,4,1,No
302,37,Male,Research & Development,Research Director,Life Sciences,Divorced,Travel_Rarely,7306.0,0,0,7.0,Yes,4,3.0,2,2,3,No
303,24,Female,Sales,Manager,Marketing,Married,Travel_Frequently,5656.0,1,0,2.0,No,2,2.0,3,3,2,Yes
304,38,Male,Sales,Sales Representative,Technical Degree,Single,Travel_Rarely,11881.0,3,2,15.0,No,4,3.0,3,3,1,No
305,35,Female,Human Resources,HR Manager,Life Sciences,Married,Travel_Rarely,8537.0,9,8,6.0,No,3,2.0,3,3,0,No
306,45,Male,Sales,Sales Representative,Other,Divorced,Travel_Rarely,14721.0,0,0,2.0,No,1,3.0,4,3,4,No
307,52,Female,Research & Development,Manufacturing Director,Life Sciences,Single,Travel_Rarely,5661.0,11,9,4.0,Yes,1,3.0,3,2,2,No
308,32,Female,Research & Development,Manufacturing Director,Marketing,Divorced,Travel_Rarely,11968.0,9,7,3.0,No,2,4.0,3,3,4,Yes
309,29,Male,Sales,Sales Executive,Life Sciences,Single,Travel_Rarely,4809.0,3,2,2.0,Yes,3,3.0,3,5,2,Yes
310,33,Male,Research & Development,Laboratory Technician,Other,Single,Travel_Frequently,9352.0,4,2,1.0,No,1,3.0,3,2,3,No
311,54,Male,Human Resources,HR Manager,Life Sciences,Married,Travel_Rarely,3492.0,2,1,3.0,Yes,4,3.0,1,0,3,No
312,43,Female,Research & Development,Research Director,Medical,Married,Travel_Rarely,15410.0,1,0,30.0,No,4,3.0,2,3,5,No
313,25,Female,Sales,Manager,Life Sciences,Married,Travel_Rarely,5624.0,3,2,13.0,Yes,4,3.0,4,1,3,No
314,36,Female,Research & Development,Laboratory Technician,Human Resources,Divorced,Travel_Rarely,3024.0,6,5,7.0,No,1,4.0,2,5,3,Yes
315,46,Male,Research & Development,Research Director,Human Resources,Divorced,Travel_Rarely,3360.0,0,0,5.0,No,3,3.0,2,4,2,No
316,43,Female,Sales,Sales Executive,Marketing,Married,Travel_Rarely,9158.0,1,0,7.0,No,3,3.0,3,2,2,No
317,31,Female,Research & Development,Laboratory Technician,Human Resources,Divorced,Travel_Rarely,7306.0,2,1,12.0,No,2,2.0,3,2,5,No
318,35,Male,Research & Development,Research Director,Marketing,Married,Travel_Rarely,6711.0,2,0,6.0,No,3,3.0,4,4,2,No
319,41,Female,Research & Development,Manufacturing Director,Medical,Married,Travel_Rarely,5733.0,1,0,1.0,Yes,4,3.0,3,2,2,Yes
320,29,Male,Sales,Manager,Medical,Divorced,Travel_Rarely,14163.0,7,6,8.0,Yes,1,4.0,3,7,1,Yes
321,24,Male,Research & Development,Research Director,Human Resources,Divorced,Travel_Rarely,9953.0,2,1,1.0,Yes,4,3.0,3,1,2,Yes
322,22,Male,Research & Development,Research Director,Marketing,Single,Travel_Frequently,7306.0,4,1,1.0,Yes,4,2.0,3,4,1,Yes
323,60,Female,Research & Development,Manufacturing Director,Technical Degree,Married,Travel_Rarely,1000.0,1,0,5.0,No,4,2.0,2,2,6,Yes
324,46,Male,Research & Development,Manufacturing Director,Life Sciences,Divorced,Non-Travel,11546.0,0,0,1.0,Yes,3,3.0,3,1,4,No
325,49,Male,Sales,Sales Representative,Life Sciences,Married,Travel_Rarely,14602.0,6,5,1.0,Yes,4,2.0,3,1,4,Yes
326,44,Male,Research & Development,Research Scientist,Medical,Married,Travel_Rarely,8084.0,1,0,1.0,No,3,2.0,3,2,1,Yes
327,35,Male,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,7411.0,1,0,1.0,No,1,2.0,3,3,2,Yes
328,24,Male,Sales,Manager,Medical,Married,Non-Travel,4961.0,1,0,3.0,No,3,3.0,3,5,4,Yes
329,18,Male,Research & Development,Manufacturing Director,Technical Degree,Married,Travel_Frequently,6157.0,0,0,26.0,No,4,2.0,3,3,2,No
330,21,Female,Sales,Sales Executive,Marketing,Married,Travel_Rarely,3937.0,3,2,5.0,No,1,2.0,3,2,1,No
331,48,Female,Research & Development,Laboratory Technician,Other,Married,Travel_Rarely,15060.0,5,2,1.0,Yes,2,3.0,3,3,2,Yes
332,29,Female,Sales,Sales Representative,Life Sciences,Divorced,Non-Travel,7901.0,4,2,15.0,No,2,3.0,3,3,3,Yes
333,50,Female,Research & Development,Research Director,Technical Degree,Single,Travel_Frequently,9702.0,1,0,2.0,No,3,3.0,3,4,3,No
334,32,Female,Sales,Manager,Human Resources,Married,Travel_Rarely,10757.0,1,0,2.0,Yes,4,2.0,4,6,3,Yes
335,39,Male,Research & Development,Research Scientist,Human Resources,Single,Non-Travel,5228.0,2,1,3.0,Yes,3,2.0,3,0,5,Yes
336,43,Female,Research & Development,Research Director,Other,Single,Travel_Rarely,4574.0,5,1,5.0,No,4,1.0,4,3,2,No
337,34,Female,Research & Development,Research Scientist,Marketing,Single,Travel_Rarely,11662.0,7,2,3.0,No,4,3.0,4,2,3,No
338,51,Male,Sales,Sales Executive,Other,Married,Travel_Rarely,8139.0,0,0,6.0,Yes,3,4.0,4,2,0,Yes
339,25,Female,Research & Development,Manufacturing Director,Marketing,Married,Travel_Rarely,4499.0,2,0,5.0,Yes,4,3.0,4,2,3,Yes
340,43,Male,Human Resources,Human Resources,Life Sciences,Divorced,Travel_Frequently,7447.0,1,0,1.0,No,2,3.0,3,2,3,No
341,41,Female,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,2185.0,0,0,9.0,No,3,2.0,3,1,3,No
342,32,Male,Research & Development,Laboratory Technician,Other,Divorced,Travel_Rarely,7839.0,10,3,23.0,No,2,4.0,2,2,3,Yes
343,43,Female,Research & Development,Research Scientist,Medical,Married,Travel_Frequently,8219.0,1,0,2.0,Yes,1,3.0,3,4,2,Yes
344,24,Male,Research & Development,Research Director,Technical Degree,Single,Travel_Rarely,6015.0,6,2,4.0,No,4,3.0,4,2,5,No
345,20,Female,Research & Development,Research Scientist,Marketing,Married,Travel_Rarely,1108.0,1,0,1.0,Yes,2,1.0,3,2,2,Yes
346,33,Female,Sales,Sales Representative,Technical Degree,Married,Travel_Rarely,6952.0,0,0,6.0,No,1,4.0,3,2,2,No
347,38,Male,Research & Development,Research Scientist,Life Sciences,Married,Travel_Rarely,10026.0,1,0,5.0,Yes,4,2.0,3,3,1,Yes
348,48,Male,Research & Development,Laboratory Technician,Human Resources,Married,Travel_Rarely,9751.0,0,0,22.0,Yes,4,4.0,3,3,2,Yes
349,32,Male,Research & Development,Research Scientist,Technical Degree,Divorced,Travel_Frequently,6846.0,11,10,30.0,No,4,2.0,3,0,8,Yes
350,45,Female,Research & Development,Research Scientist,Technical Degree,Married,Travel_Rarely,8857.0,20,14,1.0,No,3,2.0,4,3,2,No
351,26,Female,Research & Development,Manufacturing Director,Life Sciences,Married,Non-Travel,9025.0,1,0,1.0,Yes,2,3.0,4,1,2,Yes
352,35,Male,Research & Development,Laboratory Technician,Other,Single,Travel_Rarely,11492.0,5,2,9.0,No,3,3.0,3,5,3,No
353,34,Male,Research & Development,Research Scientist,Technical Degree,Single,Travel_Rarely,6131.0,9,4,28.0,No,2,1.0,3,1,1,No
354,31,Male,Research & Development,Research Scientist,Medical,Single,Travel_Rarely,10973.0,1,0,3.0,No,1,3.0,3,2,2,Yes
355,49,Male,Sales,Sales Representative,Human Resources,Married,Travel_Rarely,13055.0,2,1,3.0,Yes,2,2.0,3,3,7,No
356,25,Male,Research & Development,Research Scientist,Human Resources,Married,Travel_Frequently,8485.0,3,2,11.0,No,2,4.0,3,3,2,Yes
357,43,Male,Sales,Manager,Marketing,Divorced,Travel_Rarely,4629.0,4,3,3.0,No,1,3.0,4,2,4,No
358,36,Male,Research & Development,Research Director,Technical Degree,Divorced,Travel_Rarely,14581.0,10,3,9.0,No,3,3.0,3,2,3,No
359,33,Male,Sales,Sales Executive,Other,Single,Travel_Frequently,6366.0,13,8,3.0,No,3,2.0,3,2,2,No
360,29,Male,Research & Development,Research Scientist,Marketing,Married,Travel_Rarely,4809.0,0,0,1.0,No,3,3.0,3,2,2,No
361,24,Male,Research & Development,Manufacturing Director,Human Resources,Married,Travel_Rarely,7374.0,3,2,7.0,Yes,3,3.0,3,2,1,No
362,25,Female,Sales,Manager,Technical Degree,Married,Travel_Rarely,13803.0,7,3,30.0,No,4,1.0,3,1,1,Yes
363,27,Female,Sales,Manager,Human Resources,Married,Travel_Frequently,8070.0,0,0,7.0,Yes,2,1.0,3,3,5,Yes
364,36,Male,Sales,Sales Executive,Technical Degree,Single,Travel_Rarely,5542.0,3,1,1.0,No,4,4.0,3,8,1,No
365,47,Female,Sales,Manager,Human Resources,Single,Travel_Rarely,10673.0,4,3,1.0,Yes,3,3.0,3,2,3,No
366,41,Female,Research & Development,Research Director,Human Resources,Married,Travel_Rarely,7449.0,8,5,11.0,No,2,4.0,3,4,6,No
367,37,Female,Research & Development,Laboratory Technician,Technical Degree,Married,Travel_Rarely,1000.0,0,0,3.0,No,1,4.0,3,3,5,No
368,38,Male,Research & Development,Laboratory Technician,Technical Degree,Single,Travel_Rarely,7417.0,2,1,15.0,No,1,1.0,3,6,2,Yes
369,36,Female,Sales,Manager,Other,Divorced,Travel_Rarely,1000.0,2,0,3.0,No,4,1.0,3,0,3,No
370,40,Male,Sales,Manager,Technical Degree,Single,Travel_Rarely,9026.0,12,9,1.0,No,2,3.0,3,4,3,No
371,50,Female,Research & Development,Laboratory Technician,Human Resources,Divorced,Travel_Rarely,6921.0,0,0,5.0,Yes,3,2.0,2,2,3,No
372,56,Male,Research & Development,Manufacturing Director,Marketing,Married,Travel_Frequently,12161.0,13,9,9.0,No,1,3.0,4,4,2,No
373,36,Male,Sales,Sales Representative,Human Resources,Married,Travel_Frequently,3805.0,5,3,3.0,No,4,1.0,3,2,1,No
374,21,Male,Research & Development,Manufacturing Director,Technical Degree,Married,Travel_Frequently,10386.0,3,2,14.0,Yes,4,4.0,3,0,3,No
375,30,Female,Research & Development,Research Director,Life Sciences,Single,Travel_Rarely,9797.0,0,0,3.0,Yes,4,3.0,3,1,3,No
376,33,Female,Sales,Sales Executive,Life Sciences,Married,Travel_Rarely,8607.0,7,6,6.0,No,1,3.0,3,1,2,No
377,52,Male,Sales,Sales Executive,Human Resources,Single,Travel_Frequently,3768.0,1,0,16.0,No,4,4.0,2,3,0,No
378,23,Male,Research & Development,Research Director,Human Resources,Married,Travel_Rarely,9749.0,5,2,9.0,No,2,1.0,3,4,3,No
379,31,Male,Research & Development,Laboratory Technician,Technical Degree,Divorced,Travel_Frequently,4750.0,2,0,7.0,No,3,3.0,3,2,1,No
380,36,Male,Research & Development,Laboratory Technician,Technical Degree,Married,Travel_Rarely,2707.0,1,0,5.0,Yes,4,3.0,2,0,3,Yes
381,25,Male,Research & Development,Laboratory Technician,Other,Single,Travel_Rarely,9427.0,0,0,7.0,No,3,3.0,3,3,3,No
382,54,Male,Research & Development,Manufacturing Director,Medical,Single,Travel_Rarely,8898.0,10,6,3.0,No,2,3.0,4,2,2,No
383,35,Male,Research & Development,Research Scientist,Other,Married,Travel_Rarely,3160.0,1,0,2.0,Yes,4,1.0,3,5,3,Yes
384,29,Male,Research & Development,Research Director,Other,Married,Travel_Rarely,4193.0,4,1,1.0,Yes,3,4.0,3,1,3,No
385,22,Male,Sales,Sales Executive,Technical Degree,Married,Travel_Rarely,1000.0,0,0,1.0,Yes,2,4.0,3,2,0,Yes
386,34,Female,Sales,Manager,Other,Single,Travel_Frequently,11576.0,7,2,1.0,Yes,3,4.0,3,4,1,Yes
387,27,Female,Research & Development,Research Director,Medical,Single,Travel_Rarely,1031.0,1,0,4.0,No,3,4.0,2,3,4,No
388,32,Male,Sales,Sales Executive,Marketing,Married,Travel_Rarely,7144.0,5,3,1.0,Yes,1,3.0,3,4,4,No
389,34,Female,Research & Development,Manufacturing Director,Life Sciences,Married,Non-Travel,7306.0,2,0,7.0,No,1,2.0,3,4,4,No
390,37,Female,Sales,Sales Representative,Life Sciences,Single,Travel_Rarely,7819.0,7,5,7.0,No,3,3.0,4,4,4,No
391,46,Female,Research & Development,Manufacturing Director,Other,Divorced,Travel_Rarely,7833.0,2,0,4.0,No,1,2.0,2,1,4,No
392,21,Female,Human Resources,HR Manager,Life Sciences,Married,Travel_Rarely,8335.0,2,0,11.0,No,4,1.0,3,1,4,No
393,45,Male,Sales,Sales Executive,Marketing,Single,Travel_Rarely,12405.0,2,0,1.0,No,3,3.0,3,3,5,No
394,37,Female,Sales,Sales Executive,Human Resources,Single,Travel_Rarely,10428.0,6,3,7.0,No,2,3.0,3,2,1,No
395,42,Female,Sales,Sales Representative,Life Sciences,Married,Travel_Rarely,5593.0,3,1,5.0,No,3,2.0,4,3,3,Yes
396,34,Female,Research & Development,Laboratory Technician,Other,Single,Travel_Rarely,1000.0,0,0,6.0,No,3,4.0,3,0,4,No
397,18,Female,Research & Development,Research Director,Medical,Married,Travel_Rarely,7884.0,0,0,1.0,Yes,4,3.0,3,5,2,Yes
398,41,Female,Research & Development,Research Director,Medical,Single,Travel_Rarely,2111.0,2,0,5.0,No,3,4.0,3,1,3,No
399,38,Male,Research & Development,Research Scientist,Human Resources,Married,Travel_Rarely,7296.0,3,2,4.0,No,3,3.0,4,6,5,No
400,35,Female,Research & Development,Manufacturing Director,Life Sciences,Married,Travel_Rarely,1000.0,4,2,1.0,No,3,3.0,3,2,3,Yes
401,28,Male,Sales,Sales Executive,Other,Single,Travel_Rarely,8486.0,10,5,1.0,No,2,3.0,3,1,1,Yes
402,32,Male,Research & Development,Research Director,Medical,Divorced,Travel_Rarely,5016.0,0,0,4.0,No,2,2.0,4,5,3,Yes
403,41,Male,Human Resources,Human Resources,Technical Degree,Divorced,Travel_Frequently,5499.0,13,7,2.0,No,4,1.0,3,3,4,No
404,30,Male,Research & Development,Research Scientist,Other,Divorced,Travel_Rarely,9025.0,0,0,1.0,No,2,2.0,3,0,2,Yes
405,29,Female,Sales,Manager,Life Sciences,Single,Travel_Rarely,3844.0,7,3,2.0,Yes,4,2.0,3,4,2,Yes
406,37,Male,Sales,Sales Executive,Other,Divorced,Travel_Frequently,7076.0,1,0,17.0,No,4,4.0,4,5,5,Yes
407,32,Male,Research & Development,Manufacturing Director,Medical,Divorced,Travel_Rarely,5844.0,0,0,5.0,No,3,2.0,3,6,2,No
408,46,Male,Research & Development,Laboratory Technician,Marketing,Married,Travel_Frequently,5306.0,5,4,4.0,No,3,2.0,3,4,2,No
409,44,Male,Research & Development,Manufacturing Director,Technical Degree,Divorced,Travel_Rarely,5452.0,1,0,12.0,No,2,4.0,3,3,4,No
410,54,Female,Sales,Sales Representative,Other,Divorced,Travel_Rarely,11120.0,12,4,1.0,Yes,4,3.0,3,0,4,No
411,27,Male,Sales,Manager,Other,Single,Travel_Rarely,7352.0,3,1,1.0,No,1,2.0,1,1,0,Yes
